emp_no,first_name,last_name,gender,hire_date,dept_name,title,salary,tenure_years,tenure_segment
17444,Yechiam,Bednarek,F,1985-03-05,"Customer Service","Senior Staff",76228,17.41,"Veteran (15+ yrs)"
10351,Tadahiko,Strehl,F,1985-03-07,Finance,Staff,49802,17.4,"Veteran (15+ yrs)"
11227,Dayanand,Figueira,M,1985-03-08,"Human Resources","Senior Staff",75606,17.4,"Veteran (15+ yrs)"
12279,Renee,Brookman,M,1985-03-06,Research,"Senior Engineer",73150,17.4,"Veteran (15+ yrs)"
13443,Mayuko,Puppo,M,1985-03-06,"Quality Management","Senior Engineer",61402,17.4,"Veteran (15+ yrs)"
16827,Debaprosad,Stafford,M,1985-03-09,"Human Resources",Staff,50340,17.4,"Veteran (15+ yrs)"
17215,Junichi,Langford,M,1985-03-07,Production,"Senior Engineer",72112,17.4,"Veteran (15+ yrs)"
18058,Naraig,Brobst,M,1985-03-07,Sales,Staff,84423,17.4,"Veteran (15+ yrs)"
10156,Sumali,Fargier,M,1985-03-10,"Quality Management","Senior Engineer",71859,17.39,"Veteran (15+ yrs)"
10739,Gor,Iacovou,F,1985-03-12,Development,Engineer,78161,17.39,"Veteran (15+ yrs)"
11402,Freyja,Brizzi,M,1985-03-10,Sales,"Senior Staff",125163,17.39,"Veteran (15+ yrs)"
11809,Anneli,Bennis,M,1985-03-12,Development,"Senior Engineer",95708,17.39,"Veteran (15+ yrs)"
11949,Martijn,Harbusch,M,1985-03-11,Production,"Technique Leader",68411,17.39,"Veteran (15+ yrs)"
13272,Arun,Jiang,F,1985-03-10,"Customer Service","Senior Staff",82712,17.39,"Veteran (15+ yrs)"
13411,Yonghong,Himler,M,1985-03-13,Marketing,"Senior Staff",61037,17.39,"Veteran (15+ yrs)"
14338,Behnaam,Pelz,M,1985-03-13,"Quality Management","Senior Engineer",74197,17.39,"Veteran (15+ yrs)"
15343,Chaosheng,Luce,F,1985-03-12,"Quality Management","Senior Engineer",79614,17.39,"Veteran (15+ yrs)"
15709,Lena,Aloisi,F,1985-03-11,Sales,"Senior Staff",94424,17.39,"Veteran (15+ yrs)"
16562,Ayakannu,Lueh,M,1985-03-12,Finance,Staff,59868,17.39,"Veteran (15+ yrs)"
17339,Fan,Mullainathan,F,1985-03-11,Production,Engineer,73695,17.39,"Veteran (15+ yrs)"
17584,Emdad,Coorg,F,1985-03-10,"Human Resources","Senior Staff",55060,17.39,"Veteran (15+ yrs)"
11676,Valeri,Ferriere,F,1985-03-16,Production,Engineer,53887,17.38,"Veteran (15+ yrs)"
11828,Mikhail,Paciorek,F,1985-03-14,Sales,"Senior Staff",91724,17.38,"Veteran (15+ yrs)"
12192,Feiyu,Klyachko,F,1985-03-16,"Quality Management","Senior Engineer",70262,17.38,"Veteran (15+ yrs)"
12803,Gad,Boissier,M,1985-03-16,Marketing,"Senior Staff",119573,17.38,"Veteran (15+ yrs)"
14659,Sashi,Adachi,F,1985-03-16,"Quality Management","Senior Engineer",68055,17.38,"Veteran (15+ yrs)"
16803,Ziva,Rohrbach,M,1985-03-14,Development,Engineer,81448,17.38,"Veteran (15+ yrs)"
17182,Mayuri,Strooper,M,1985-03-16,"Customer Service","Senior Staff",82313,17.38,"Veteran (15+ yrs)"
10380,Alejandro,Kamble,F,1985-03-19,Sales,"Senior Staff",104943,17.37,"Veteran (15+ yrs)"
10824,Kirk,Kalsbeek,M,1985-03-18,Marketing,Staff,60969,17.37,"Veteran (15+ yrs)"
11151,Gor,Reinhard,M,1985-03-20,Development,"Senior Engineer",69662,17.37,"Veteran (15+ yrs)"
12115,Moni,Candan,M,1985-03-19,Development,"Senior Engineer",82881,17.37,"Veteran (15+ yrs)"
13124,Quingbo,Garnick,F,1985-03-17,Sales,"Senior Staff",106920,17.37,"Veteran (15+ yrs)"
13234,Wuxu,Makinen,M,1985-03-17,"Customer Service",Staff,50731,17.37,"Veteran (15+ yrs)"
13537,Jacqueline,Ibel,M,1985-03-20,Development,"Senior Engineer",82020,17.37,"Veteran (15+ yrs)"
13680,Denny,Speer,M,1985-03-18,Sales,Staff,52195,17.37,"Veteran (15+ yrs)"
13846,Guiseppe,Welham,M,1985-03-20,Research,"Senior Staff",94682,17.37,"Veteran (15+ yrs)"
14014,Adas,Rassart,M,1985-03-18,"Quality Management",Engineer,65818,17.37,"Veteran (15+ yrs)"
14687,Sakthirel,Osgood,F,1985-03-19,Production,"Senior Engineer",57828,17.37,"Veteran (15+ yrs)"
17678,Selwyn,Kakkar,F,1985-03-20,Research,Staff,70591,17.37,"Veteran (15+ yrs)"
12373,Mooi,Driscoll,F,1985-03-22,Sales,"Senior Staff",89828,17.36,"Veteran (15+ yrs)"
13074,Kiam,Garigliano,M,1985-03-24,Production,"Senior Engineer",68737,17.36,"Veteran (15+ yrs)"
13552,Ingmar,Capobianchi,M,1985-03-23,Research,"Senior Staff",107972,17.36,"Veteran (15+ yrs)"
13983,Sarita,Siepmann,F,1985-03-22,Sales,Staff,79447,17.36,"Veteran (15+ yrs)"
14057,Boriana,Beidas,M,1985-03-24,Production,"Senior Engineer",73737,17.36,"Veteran (15+ yrs)"
15026,Geoffrey,Manderick,M,1985-03-24,Development,"Senior Engineer",77290,17.36,"Veteran (15+ yrs)"
15208,Sudharsan,Shokrollahi,F,1985-03-22,Research,"Senior Staff",73349,17.36,"Veteran (15+ yrs)"
15859,Godehard,Hennings,M,1985-03-21,Marketing,Staff,65645,17.36,"Veteran (15+ yrs)"
15870,Erez,Yurek,F,1985-03-22,Research,"Senior Staff",69801,17.36,"Veteran (15+ yrs)"
16174,Jinya,Senzako,M,1985-03-24,Development,"Assistant Engineer",49666,17.36,"Veteran (15+ yrs)"
17261,Shuji,Mondadori,M,1985-03-21,Production,"Senior Engineer",74826,17.36,"Veteran (15+ yrs)"
17435,Susanna,Merey,F,1985-03-23,Finance,"Senior Staff",82854,17.36,"Veteran (15+ yrs)"
10688,Xiaopeng,Lanphier,F,1985-03-25,Finance,"Senior Staff",114919,17.35,"Veteran (15+ yrs)"
12076,Karlis,Siprelle,F,1985-03-25,Sales,"Senior Staff",107431,17.35,"Veteran (15+ yrs)"
12206,Barton,Janetzko,F,1985-03-27,Development,"Senior Engineer",82068,17.35,"Veteran (15+ yrs)"
12995,Hisao,Rahier,F,1985-03-25,Production,"Senior Engineer",71204,17.35,"Veteran (15+ yrs)"
13208,Maren,Vakili,M,1985-03-25,Production,"Senior Engineer",88347,17.35,"Veteran (15+ yrs)"
13692,Yongdong,Kisuki,F,1985-03-27,Sales,Staff,72202,17.35,"Veteran (15+ yrs)"
14872,Tonny,Zaccaria,M,1985-03-27,Research,"Senior Staff",63554,17.35,"Veteran (15+ yrs)"
14908,Kerhong,Flanders,F,1985-03-25,Production,"Senior Engineer",56067,17.35,"Veteran (15+ yrs)"
11109,Chinho,Stamatiou,M,1985-03-29,Sales,"Senior Staff",66599,17.34,"Veteran (15+ yrs)"
11162,Kauko,Narlikar,F,1985-03-28,Development,"Senior Engineer",106899,17.34,"Veteran (15+ yrs)"
11345,Youngkon,Maierhofer,M,1985-03-30,Development,Engineer,65421,17.34,"Veteran (15+ yrs)"
12570,Stafford,Anily,F,1985-03-28,Production,"Senior Engineer",73819,17.34,"Veteran (15+ yrs)"
12722,Elliott,Cheshire,F,1985-03-29,Finance,"Senior Staff",91522,17.34,"Veteran (15+ yrs)"
13280,Gunilla,Cappelletti,M,1985-03-30,"Customer Service","Senior Staff",72175,17.34,"Veteran (15+ yrs)"
15302,Kwan,Ozery,M,1985-03-28,Development,Staff,46776,17.34,"Veteran (15+ yrs)"
16079,Leen,Shrader,F,1985-03-31,Research,"Senior Engineer",58598,17.34,"Veteran (15+ yrs)"
16107,Feiyu,Luit,M,1985-03-30,Sales,"Senior Staff",123357,17.34,"Veteran (15+ yrs)"
17496,Angus,Varman,F,1985-03-31,"Quality Management","Senior Engineer",81017,17.34,"Veteran (15+ yrs)"
17848,Zhonghua,Veccia,M,1985-03-31,Sales,"Senior Staff",114375,17.34,"Veteran (15+ yrs)"
10453,Tsvetan,Matzel,F,1985-04-02,"Customer Service","Senior Staff",75440,17.33,"Veteran (15+ yrs)"
10734,Sachar,Erdi,M,1985-04-03,Production,Engineer,60732,17.33,"Veteran (15+ yrs)"
12714,Sverrir,Zeilberger,M,1985-04-01,Production,"Senior Engineer",67931,17.33,"Veteran (15+ yrs)"
12804,Marlo,Rosti,F,1985-04-04,Research,"Senior Staff",77719,17.33,"Veteran (15+ yrs)"
14092,Yahiko,Acton,F,1985-04-01,Finance,"Senior Staff",75400,17.33,"Veteran (15+ yrs)"
14340,Vitaly,Wixon,M,1985-04-03,Production,"Senior Engineer",66616,17.33,"Veteran (15+ yrs)"
14823,Debaprosad,Grabner,M,1985-04-01,Production,"Senior Engineer",84864,17.33,"Veteran (15+ yrs)"
15731,Bangqing,Kaltofen,M,1985-04-01,Production,"Senior Engineer",92495,17.33,"Veteran (15+ yrs)"
15883,Jixiang,Rosin,F,1985-04-02,Development,"Senior Engineer",95068,17.33,"Veteran (15+ yrs)"
16000,Marek,Demos,F,1985-04-03,Production,"Senior Engineer",50174,17.33,"Veteran (15+ yrs)"
17102,Radhika,Garnick,F,1985-04-03,Sales,Staff,100538,17.33,"Veteran (15+ yrs)"
17790,Youngkon,Merro,F,1985-04-01,Sales,"Senior Staff",105318,17.33,"Veteran (15+ yrs)"
10331,Arto,Binkley,M,1985-04-06,Sales,"Senior Staff",86063,17.32,"Veteran (15+ yrs)"
11942,Uri,Scharstein,F,1985-04-06,Production,"Senior Engineer",121724,17.32,"Veteran (15+ yrs)"
12365,Kamakshi,Bisiani,M,1985-04-07,Production,"Senior Engineer",70465,17.32,"Veteran (15+ yrs)"
12497,Stein,Penz,M,1985-04-05,Sales,"Senior Staff",105874,17.32,"Veteran (15+ yrs)"
14118,Kasturi,Anido,M,1985-04-06,"Customer Service","Senior Staff",70270,17.32,"Veteran (15+ yrs)"
15052,Flemming,Kranzdorf,M,1985-04-05,Production,"Senior Engineer",62096,17.32,"Veteran (15+ yrs)"
15480,Kwok,Trogemann,M,1985-04-07,Development,"Senior Engineer",82836,17.32,"Veteran (15+ yrs)"
16862,JiYoung,Eppinger,M,1985-04-06,"Customer Service","Senior Engineer",70147,17.32,"Veteran (15+ yrs)"
17312,JoAnne,Cappelletti,M,1985-04-07,Development,"Senior Engineer",86520,17.32,"Veteran (15+ yrs)"
12232,Subhankar,Ratnakar,M,1985-04-08,Sales,"Senior Staff",110057,17.31,"Veteran (15+ yrs)"
12247,Subbu,Penttonen,F,1985-04-09,Development,"Technique Leader",93749,17.31,"Veteran (15+ yrs)"
14593,Subhankar,Cincotta,M,1985-04-10,Finance,"Senior Staff",87517,17.31,"Veteran (15+ yrs)"
15802,Adhemar,Haumacher,F,1985-04-08,Finance,"Senior Staff",87321,17.31,"Veteran (15+ yrs)"
17089,Rafail,Erman,F,1985-04-10,Sales,"Senior Staff",98386,17.31,"Veteran (15+ yrs)"
17203,Arra,Macedo,M,1985-04-09,Production,"Senior Engineer",70272,17.31,"Veteran (15+ yrs)"
17505,Gunilla,Moffat,F,1985-04-09,Production,"Senior Engineer",93686,17.31,"Veteran (15+ yrs)"
11603,Herb,Swen,F,1985-04-13,Finance,"Senior Staff",94684,17.3,"Veteran (15+ yrs)"
12602,Alain,Erdi,M,1985-04-15,"Quality Management","Senior Engineer",60372,17.3,"Veteran (15+ yrs)"
17461,Karoline,Lampe,F,1985-04-12,Production,"Technique Leader",111938,17.3,"Veteran (15+ yrs)"
17668,Pohua,Simkin,M,1985-04-12,Marketing,"Senior Staff",98408,17.3,"Veteran (15+ yrs)"
17844,Gererd,Fraisse,M,1985-04-14,Research,"Senior Engineer",80049,17.3,"Veteran (15+ yrs)"
18210,Mabo,Radhakrishnan,M,1985-04-14,Development,"Senior Engineer",57390,17.3,"Veteran (15+ yrs)"
14556,Fatemeh,Zultner,M,1985-04-18,Production,Engineer,69521,17.29,"Veteran (15+ yrs)"
15452,Kazuhira,Weedman,M,1985-04-16,Development,Engineer,56456,17.29,"Veteran (15+ yrs)"
10848,Fen,Bratsberg,F,1985-04-20,Production,"Senior Engineer",87285,17.28,"Veteran (15+ yrs)"
10909,Georgi,Atchley,M,1985-04-21,Development,"Senior Engineer",96667,17.28,"Veteran (15+ yrs)"
11551,Subhrajyoti,Gonthier,M,1985-04-21,Development,"Senior Engineer",103142,17.28,"Veteran (15+ yrs)"
12471,Aksel,Nivat,M,1985-04-19,Marketing,"Senior Staff",75215,17.28,"Veteran (15+ yrs)"
16605,Anestis,Taneja,M,1985-04-22,"Customer Service","Senior Staff",70381,17.28,"Veteran (15+ yrs)"
17699,Radhia,Heping,F,1985-04-19,Development,"Senior Engineer",81694,17.28,"Veteran (15+ yrs)"
11284,Bernice,Felcyn,M,1985-04-25,"Quality Management",Engineer,83956,17.27,"Veteran (15+ yrs)"
17318,Shunichi,Iwayama,M,1985-04-23,Development,"Senior Engineer",84430,17.27,"Veteran (15+ yrs)"
17643,Chinhyun,Czaja,M,1985-04-25,"Human Resources","Senior Staff",74465,17.27,"Veteran (15+ yrs)"
10507,Kasidit,Belinskaya,M,1985-04-26,"Human Resources","Senior Staff",64175,17.26,"Veteran (15+ yrs)"
10605,Moti,Wixon,F,1985-04-29,"Quality Management","Senior Engineer",49298,17.26,"Veteran (15+ yrs)"
11031,Ottavia,Walstra,M,1985-04-26,Marketing,"Senior Staff",108102,17.26,"Veteran (15+ yrs)"
11184,Masoud,Theuretzbacher,M,1985-04-27,Research,"Senior Staff",66502,17.26,"Veteran (15+ yrs)"
11299,Christfried,Tokunaga,M,1985-04-27,Production,"Senior Engineer",78553,17.26,"Veteran (15+ yrs)"
12075,JiYoung,Felcyn,M,1985-04-28,Development,"Senior Engineer",59949,17.26,"Veteran (15+ yrs)"
12165,Xiaobin,Maquelin,F,1985-04-27,Development,"Senior Engineer",60868,17.26,"Veteran (15+ yrs)"
12906,Zdislav,Khalid,F,1985-04-28,Marketing,"Senior Staff",79366,17.26,"Veteran (15+ yrs)"
15600,Mack,Perna,M,1985-04-26,Production,"Senior Engineer",67316,17.26,"Veteran (15+ yrs)"
16362,Niranjan,Felcyn,M,1985-04-26,"Human Resources","Senior Staff",102821,17.26,"Veteran (15+ yrs)"
16365,Janalee,Mellouli,F,1985-04-27,Research,"Senior Staff",63048,17.26,"Veteran (15+ yrs)"
16923,Ramachenga,Kroll,M,1985-04-26,Production,"Senior Engineer",86554,17.26,"Veteran (15+ yrs)"
17051,Jenwei,Hedayat,F,1985-04-29,Production,Engineer,82503,17.26,"Veteran (15+ yrs)"
17550,Nimmagadda,Schoegge,M,1985-04-26,Development,"Senior Engineer",54706,17.26,"Veteran (15+ yrs)"
17778,Chirstian,Matzov,M,1985-04-29,"Customer Service","Senior Staff",62353,17.26,"Veteran (15+ yrs)"
17834,Zhilian,Fiutem,M,1985-04-27,Development,"Senior Engineer",51140,17.26,"Veteran (15+ yrs)"
18100,Danai,Brlek,F,1985-04-27,"Customer Service",Engineer,54599,17.26,"Veteran (15+ yrs)"
10432,Hisao,Tiemann,F,1985-04-30,"Customer Service","Senior Staff",63568,17.25,"Veteran (15+ yrs)"
11393,Junsik,Junot,M,1985-04-30,Production,"Senior Engineer",76888,17.25,"Veteran (15+ yrs)"
13444,Doohun,Lienhardt,F,1985-05-01,Development,"Senior Engineer",73522,17.25,"Veteran (15+ yrs)"
13476,Niclas,Broomell,M,1985-05-01,Development,"Senior Engineer",100144,17.25,"Veteran (15+ yrs)"
15399,Oscar,Mukaidono,F,1985-05-01,Production,"Technique Leader",72611,17.25,"Veteran (15+ yrs)"
15956,Elvia,Matzen,M,1985-05-03,Marketing,"Senior Staff",99780,17.25,"Veteran (15+ yrs)"
16024,Masaru,Mellouli,F,1985-05-02,Development,"Senior Engineer",85466,17.25,"Veteran (15+ yrs)"
17745,Hatem,Schreiter,M,1985-05-02,Development,"Senior Engineer",76087,17.25,"Veteran (15+ yrs)"
18084,Heeju,Armand,F,1985-05-01,Production,"Senior Engineer",75569,17.25,"Veteran (15+ yrs)"
18212,Constantino,Journel,F,1985-04-30,"Customer Service","Senior Staff",72497,17.25,"Veteran (15+ yrs)"
11549,Guoxiang,Juneja,M,1985-05-06,Production,Engineer,51079,17.24,"Veteran (15+ yrs)"
12604,Minghong,Conti,M,1985-05-04,Finance,"Senior Staff",100107,17.24,"Veteran (15+ yrs)"
14569,Shaz,Pagter,M,1985-05-06,Development,"Senior Engineer",69610,17.24,"Veteran (15+ yrs)"
15085,Radhia,Douceur,F,1985-05-05,Development,"Technique Leader",80903,17.24,"Veteran (15+ yrs)"
17954,Zhigen,Spelt,F,1985-05-05,Marketing,"Senior Staff",81806,17.24,"Veteran (15+ yrs)"
10399,Guenter,Marchegay,F,1985-05-07,Sales,Staff,98993,17.23,"Veteran (15+ yrs)"
14005,Vojin,Stellhorn,M,1985-05-10,Development,"Technique Leader",65252,17.23,"Veteran (15+ yrs)"
14640,Toshimori,Kornatzky,M,1985-05-07,Development,"Senior Engineer",60762,17.23,"Veteran (15+ yrs)"
16739,Insup,Morris,F,1985-05-09,Production,"Senior Engineer",85119,17.23,"Veteran (15+ yrs)"
17103,Takahiro,Feldmann,M,1985-05-09,Research,"Senior Engineer",68518,17.23,"Veteran (15+ yrs)"
17241,Unal,Polupanov,F,1985-05-09,Development,"Senior Staff",79948,17.23,"Veteran (15+ yrs)"
18001,Odoardo,Peral,M,1985-05-09,Sales,"Senior Staff",96848,17.23,"Veteran (15+ yrs)"
18236,Marko,Unno,F,1985-05-07,Development,"Senior Engineer",55140,17.23,"Veteran (15+ yrs)"
10326,Masali,Czap,F,1985-05-13,Research,Staff,52152,17.22,"Veteran (15+ yrs)"
12069,Ayonca,Burnard,M,1985-05-13,Development,"Senior Engineer",85650,17.22,"Veteran (15+ yrs)"
12481,Ipke,Uludag,F,1985-05-11,Development,"Senior Engineer",75252,17.22,"Veteran (15+ yrs)"
12519,Suebskul,Ghazalie,M,1985-05-13,Production,Engineer,65072,17.22,"Veteran (15+ yrs)"
12823,Pranav,Lanteri,F,1985-05-11,Development,"Senior Engineer",83476,17.22,"Veteran (15+ yrs)"
13658,Adamantios,Goodrum,F,1985-05-13,Development,Engineer,48409,17.22,"Veteran (15+ yrs)"
15511,George,Kowalchuk,F,1985-05-11,Sales,"Senior Staff",114155,17.22,"Veteran (15+ yrs)"
16389,Kwangjo,Sadowsky,M,1985-05-11,"Customer Service","Senior Staff",120201,17.22,"Veteran (15+ yrs)"
16852,Yefim,Fontet,F,1985-05-14,"Customer Service","Senior Engineer",79177,17.22,"Veteran (15+ yrs)"
10258,Basil,Ishibashi,F,1985-05-17,Development,"Senior Engineer",110212,17.21,"Veteran (15+ yrs)"
11268,Aimee,Petersohn,F,1985-05-17,Production,"Senior Engineer",66827,17.21,"Veteran (15+ yrs)"
11295,Abdelkader,Lanzelotte,M,1985-05-15,Finance,"Senior Staff",109283,17.21,"Veteran (15+ yrs)"
11670,Evgueni,Kroon,F,1985-05-17,"Human Resources","Senior Staff",94364,17.21,"Veteran (15+ yrs)"
12224,Nikolaus,Lenart,M,1985-05-15,Sales,Staff,72285,17.21,"Veteran (15+ yrs)"
12510,Rosli,Hellwagner,F,1985-05-15,Production,"Senior Engineer",79895,17.21,"Veteran (15+ yrs)"
13026,Gina,Itschner,M,1985-05-15,Production,"Assistant Engineer",60208,17.21,"Veteran (15+ yrs)"
13056,Arvind,Zirintsis,F,1985-05-16,"Customer Service","Senior Staff",125872,17.21,"Veteran (15+ yrs)"
13959,Danae,Apsitis,M,1985-05-15,Production,"Senior Engineer",69719,17.21,"Veteran (15+ yrs)"
13962,Maris,Ghelli,M,1985-05-17,Production,"Senior Engineer",86434,17.21,"Veteran (15+ yrs)"
14768,Khedija,Winter,M,1985-05-15,Development,"Senior Engineer",113102,17.21,"Veteran (15+ yrs)"
14923,Shuzo,Gyorkos,M,1985-05-15,Development,"Technique Leader",71172,17.21,"Veteran (15+ yrs)"
14928,Satoru,Mukaidono,F,1985-05-17,"Human Resources","Senior Staff",92370,17.21,"Veteran (15+ yrs)"
16438,Abdulla,Demeyer,M,1985-05-17,Production,"Senior Engineer",67538,17.21,"Veteran (15+ yrs)"
16462,Marc,Kamble,M,1985-05-16,"Human Resources","Senior Staff",95070,17.21,"Veteran (15+ yrs)"
16824,Masadi,Chaudhuri,M,1985-05-15,Sales,"Senior Staff",73509,17.21,"Veteran (15+ yrs)"
18023,Valeri,Chenoweth,F,1985-05-17,Development,"Senior Engineer",99057,17.21,"Veteran (15+ yrs)"
