emp_no,first_name,last_name,gender,hire_date,salary,salary_from
10603,Wayne,Restivo,M,1995-07-20,118613,2002-07-18
13035,Waiman,Isaac,M,1991-12-31,118570,2001-12-28
14238,Barton,Puoti,F,1988-02-15,118521,2002-02-11
11146,Ishfaq,Masand,F,1988-03-21,118453,2001-08-19
16129,Arnould,Domenig,F,1986-02-15,118237,2002-02-11
16490,Muzhong,Thiria,M,1987-04-06,117957,2002-04-01
13978,Mayuko,Bardell,F,1988-05-16,117827,2001-08-24
14610,Lijia,Merle,M,1989-11-10,117735,2001-11-07
12399,Mihalis,Luga,M,1987-12-07,117679,2001-12-03
16647,Zhiwei,Gadepally,F,1986-10-12,117560,2001-11-20
16551,Sadegh,Ranon,M,1986-08-21,117490,2001-08-17
13762,Fumino,Choobineh,F,1990-05-15,117377,2002-05-12
16710,Arumugam,Escriba,F,1990-03-10,117350,2002-01-29
11798,Kwan,Quaggetto,M,1987-12-10,117202,2001-12-06
13308,Demin,Melter,M,1987-01-19,117171,2002-01-15
17886,Jayesh,Botman,M,1988-04-23,117097,2002-04-20
16891,Kristina,Keirsey,F,1988-09-10,117012,2001-09-07
17177,Garnet,Highland,M,1987-10-08,116711,2001-10-04
15238,Arunas,Vandervoorde,M,1986-06-12,116608,2002-06-08
14524,Nobuyoshi,Trogemann,F,1993-06-04,116495,2002-01-04
11689,Jixiang,Thisen,F,1986-12-26,116433,2001-11-05
10455,Sverrir,Streng,F,1989-02-14,116386,2002-02-17
14813,Naftali,Alpin,M,1985-10-21,116273,2001-10-17
16749,Katsuo,Demir,M,1985-11-28,115965,2001-11-24
11363,Jenwei,Milicia,M,1986-03-16,115938,2002-03-12
17064,Domenick,Harnett,M,1986-04-08,115806,2002-06-13
14409,Uta,Pettis,M,1988-12-27,115776,2001-12-24
17767,Jianwen,Akazan,F,1989-10-05,115758,2002-03-14
15323,Luerbio,Genin,M,1988-04-02,115716,2002-03-30
17864,Charmane,Grandbois,M,1990-03-11,115541,2002-03-08
11120,Masato,Curless,F,1988-01-22,115504,2002-01-18
12766,Shuji,Molberg,F,1990-08-20,115439,2001-08-17
14805,Elliott,Ramalingam,M,1990-07-15,115322,2002-07-12
17798,Guangming,Suessmith,M,1986-10-15,115312,2001-10-11
13992,Ulises,Kenevan,M,1988-07-27,115268,2002-07-24
10688,Xiaopeng,Lanphier,F,1985-03-25,114919,2002-04-09
15717,Yuchang,Rabehasaina,F,1991-03-23,114874,2001-12-08
16686,Francoise,Linnainmaa,M,1989-07-10,114755,2002-07-07
17848,Zhonghua,Veccia,M,1985-03-31,114375,2002-03-27
15015,Shawna,Marchegay,M,1990-08-02,114240,2002-07-30
15511,George,Kowalchuk,F,1985-05-11,114155,2002-04-16
17031,Alois,Neiman,F,1988-03-22,113980,2002-03-19
13345,Hatsukazu,Basart,M,1990-06-13,113614,2002-06-10
12321,Heekeun,Schicker,F,1996-07-13,113551,2002-04-02
14891,Lalit,Smeets,M,1988-06-27,113471,2002-06-24
12235,Honesty,Haumacher,F,1997-07-10,113252,2002-07-09
11684,Oksana,Gide,F,1986-02-21,113241,2002-02-17
10068,Charlene,Brattka,M,1987-08-07,113229,2001-08-03
14541,Suebskul,Terwilliger,M,1995-12-29,113206,2002-04-24
12620,Shahaf,Swick,M,1987-10-11,113187,2001-09-13
12886,Aimee,Liesche,M,1993-04-26,113149,2002-04-24
14768,Khedija,Winter,M,1985-05-15,113102,2002-05-11
14465,Sajjan,Mitzlaff,F,1988-05-05,113093,2002-05-02
14439,Raimond,Woycyznski,M,1986-11-01,113027,2001-10-28
14648,IEEE,Lorys,M,1986-11-16,112806,2001-11-12
11897,Cordelia,Setlzner,M,1987-12-27,112689,2002-06-13
10666,Zhonghua,Reeker,M,1989-05-20,112604,2002-05-17
11844,Shawna,Demeyer,M,1988-01-27,112385,2002-01-23
11389,Ronnie,Provine,M,1988-01-14,112328,2002-02-17
18101,Mariangiola,Ozeri,M,1996-01-14,112294,2002-01-12
17399,Zita,Serre,F,1988-07-20,112183,2002-07-17
17273,Aiichiro,Verhaegen,M,1985-07-06,112159,2002-07-02
16062,Jaques,Peak,F,1986-01-25,112070,2002-01-21
13951,Mooi,Genther,F,1985-12-28,112024,2001-12-24
12100,Nevio,Beznosov,F,1986-11-24,111938,2001-11-20
17461,Karoline,Lampe,F,1985-04-12,111938,2002-04-08
11359,Subhrajyoti,Jayawardene,F,1989-08-14,111928,2001-08-11
16066,Marsha,Penn,F,1985-09-16,111837,2001-09-12
16355,Nikolaos,Luca,M,1985-09-02,111797,2002-06-27
12955,Eckart,England,F,1993-10-09,111793,2001-10-07
11259,Amalendu,Gronowski,M,1986-12-26,111611,2001-12-22
12453,True,Ebeling,M,1985-12-12,111486,2001-12-08
16609,Boriana,Ventosa,M,1986-10-10,111441,2001-10-06
15521,Takahiro,Argence,M,1985-11-16,111347,2001-11-12
13018,Toshimi,Moehrke,M,1987-05-10,111278,2002-05-06
17492,Heon,Rodite,M,1986-08-08,111186,2001-08-04
13528,Fumitaka,Liesche,F,1990-02-28,111185,2001-08-18
11567,Teiji,Mitzlaff,M,1988-02-03,111175,2002-01-30
12651,Pragnesh,Bael,M,1988-01-27,111083,2002-01-23
14513,Samphel,Barreiro,M,1985-07-28,111073,2002-07-24
14826,Pohua,Radivojevic,F,1990-03-08,111036,2002-07-09
14090,Hidefumi,Barvinok,M,1987-06-18,111035,2002-06-14
14827,Wuxu,Lortz,F,1985-10-06,111005,2001-10-02
11556,Masasuke,Hashii,M,1989-06-02,110985,2002-06-20
14685,Deborah,Kawashimo,F,1987-05-15,110941,2002-05-11
15284,Maja,Hiraishi,M,1987-09-24,110869,2001-11-14
11029,Georgi,Itzfeldt,M,1992-12-27,110670,2001-12-25
14098,Youssef,Frezza,M,1991-03-28,110646,2002-03-25
14082,Siddarth,Krychniak,M,1987-01-05,110411,2002-04-24
18079,Takahito,Ecklund,M,1985-02-23,110240,2002-02-19
10258,Basil,Ishibashi,F,1985-05-17,110212,2002-05-13
17816,Toshimo,Kenevan,M,1986-10-06,110211,2001-10-02
11375,Dmitri,Noriega,M,1985-05-27,110156,2002-05-23
11927,Mana,Aingworth,M,1986-04-26,110068,2002-04-22
12232,Subhankar,Ratnakar,M,1985-04-08,110057,2001-10-04
10454,Wonhee,Badr,M,1987-04-10,110048,2002-04-13
10173,Shrikanth,Mahmud,M,1992-03-21,109964,2002-03-19
17213,Francoise,Miake,F,1991-12-25,109954,2002-03-18
16461,Remmert,Schahn,M,1986-09-06,109872,2001-09-02
17572,Bingning,Alpay,M,1987-06-05,109853,2001-10-01
14639,Arvind,Hempstead,F,1987-11-08,109712,2001-11-04
15680,Bernardo,Plavsic,F,1990-04-19,109688,2002-04-16
11740,Isaac,Pero,M,1986-09-03,109567,2001-08-30
16618,Sadun,Hebert,M,1986-03-16,109566,2002-05-13
10151,Itzchak,Lichtner,M,1990-04-10,109501,2001-12-10
11099,Woody,Spataro,M,1985-12-31,109495,2001-12-27
11295,Abdelkader,Lanzelotte,M,1985-05-15,109283,2002-05-11
17136,Dhritiman,Ghemri,M,1987-07-11,109232,2002-07-07
15110,Martina,Dolinsky,M,1996-06-10,109149,2001-11-10
13700,Mingdong,Weedon,M,1997-04-24,109066,2001-12-10
11547,Kyoichi,Flexer,F,1991-01-18,109046,2002-01-15
10256,Irene,Radhakrishnan,M,1985-10-12,109040,2001-10-08
12011,Zhilian,Coorg,F,1988-07-22,108904,2002-07-19
11546,Duro,Vuskovic,M,1987-06-30,108887,2002-06-26
15644,Zhiguo,Terekhov,M,1990-03-17,108879,2002-03-14
12903,Radhika,Salverda,F,1988-12-01,108849,2001-11-28
13339,Mart,Koblitz,M,1990-08-24,108784,2001-08-21
12660,Stamatina,Escriba,F,1990-11-23,108781,2001-11-20
17006,Magy,Pargas,F,1991-05-21,108760,2002-05-18
11723,Halsur,Bauknecht,F,1992-09-26,108725,2001-09-24
17632,Diederik,Androutsos,F,1985-02-13,108694,2002-02-09
13922,Jinpo,Langford,M,1990-12-25,108647,2001-12-22
11106,Aris,Iwayama,F,1985-08-31,108369,2001-08-27
18031,Denis,Munke,F,1987-06-26,108352,2002-01-21
14761,Yunming,Rettelbach,M,1993-05-21,108326,2002-05-19
17481,Irene,Tiemann,F,1985-12-22,108326,2001-12-18
11150,Geraldo,Garigliano,F,1989-05-01,108321,2002-04-28
11286,Joydip,Gini,F,1988-02-16,108308,2002-02-12
10924,Hironoby,Atchley,F,1988-08-14,108286,2001-08-11
10938,Shaowei,Iisaku,F,1985-09-24,108280,2001-09-20
12273,Jaideep,Uehara,M,1991-02-14,108197,2002-02-11
13826,Zhigen,Greenaway,M,1985-02-26,108154,2002-06-21
11031,Ottavia,Walstra,M,1985-04-26,108102,2001-10-20
17152,Chaosheng,Pashtan,M,1991-04-05,107987,2002-04-02
13552,Ingmar,Capobianchi,M,1985-03-23,107972,2002-03-19
13447,Yucel,Lortz,F,1987-06-07,107941,2002-06-03
13784,Surveyors,Ranst,M,1988-12-19,107893,2001-12-16
17892,Subhash,Suomi,M,1988-12-04,107863,2001-12-01
13112,Hiroyasu,Pouyioutas,M,1987-02-27,107834,2002-02-23
16480,Patricio,Tramer,M,1992-01-20,107738,2002-01-17
14110,Horward,Kisuki,F,1987-05-17,107722,2002-05-13
17405,Valeri,Sethi,M,1991-04-20,107656,2002-04-17
17236,Matk,Merro,F,1987-02-02,107614,2002-01-29
11010,Jaques,Narwekar,F,1986-12-18,107605,2001-12-14
16808,Kiyokazu,Katiyar,M,1987-11-10,107535,2001-11-06
12076,Karlis,Siprelle,F,1985-03-25,107431,2002-03-21
16540,Zengping,Hashii,M,1989-02-01,107411,2002-01-29
11239,Gurbir,Kenevan,F,1985-06-25,107332,2001-09-04
15708,Reuven,Kushnir,F,1988-11-26,107294,2002-01-19
13775,Arve,Maierhofer,M,1987-10-21,107226,2001-10-17
10375,Dante,Kalafatis,F,1994-05-29,107218,2002-05-27
15987,Irena,Ferretti,M,1993-04-11,107188,2001-11-12
11559,Jaihie,Nollmann,F,1990-12-17,107185,2001-12-14
13863,Reinhard,Baig,M,1990-03-23,107181,2002-03-20
14882,Malu,Matzen,M,1985-12-20,107050,2001-12-16
13488,Zhiwei,Krohm,M,1986-02-09,106938,2002-02-05
13124,Quingbo,Garnick,F,1985-03-17,106920,2002-03-13
11162,Kauko,Narlikar,F,1985-03-28,106899,2002-03-24
14983,Hyuckchul,Pouyioutas,M,1988-12-26,106898,2001-12-23
12430,Kristine,Feldmann,F,1987-08-15,106821,2001-08-11
13695,Sakthirel,Tsukuda,M,1985-07-02,106788,2002-06-28
16477,Percy,Lamparter,F,1989-09-10,106773,2001-12-05
11976,Jacqueline,Barvinok,F,1986-10-08,106757,2001-10-04
10862,Zhenbing,Kadhim,F,1985-07-23,106685,2002-07-19
10292,Yucel,Ghelli,F,1989-06-05,106632,2002-06-02
12890,Neven,Casley,F,1985-10-31,106621,2001-10-27
17944,Munenori,Delaune,M,1988-10-11,106587,2001-10-08
13515,Sachin,Kisuki,M,1991-02-03,106565,2002-01-31
12798,Lillian,Beeson,F,1987-12-27,106517,2001-12-23
15372,Nahum,Broder,M,1988-10-12,106502,2001-10-09
17340,Yurii,Brookman,M,1985-07-05,106500,2002-07-01
13185,Hyuncheol,Rosca,F,1989-02-21,106450,2002-02-18
14171,Gift,Garnham,M,1986-01-10,106423,2002-05-03
16397,Shimshon,Cusworth,F,1985-05-24,106364,2002-05-20
13611,Yefim,Spell,F,1995-07-07,106352,2002-07-05
12565,Theron,Mullainathan,M,1989-06-16,106336,2002-06-13
17061,Zhigen,Gomatam,M,1987-06-27,106297,2001-11-26
15607,Ekawit,Massonet,F,1991-02-17,106289,2002-02-14
10319,Mechthild,Miyakawa,M,1985-08-15,106263,2002-06-16
12662,Leucio,Alvarado,M,1985-08-27,106235,2001-08-23
12472,Leah,Madeira,F,1985-12-10,106185,2001-12-06
17436,Chirstian,Munawer,M,1985-08-12,106178,2001-08-08
14299,Manu,Kitsuregawa,M,1986-08-05,106169,2002-08-01
17629,Mostafa,Winter,M,1985-09-25,106164,2001-11-18
18208,Demin,Irland,M,1986-10-05,106151,2001-10-01
11406,Eberhardt,Gini,F,1989-03-13,106117,2002-03-10
14728,Serap,Cichocki,M,1986-07-09,106102,2002-07-05
10296,Petter,Lorho,M,1989-09-16,106087,2001-09-13
17805,Bowen,Munawer,M,1992-06-02,106033,2002-05-31
18090,Eberhardt,Stemann,M,1989-11-20,105998,2001-12-23
17967,Gunilla,Vendrig,M,1995-07-20,105983,2002-07-18
17649,Valery,Perry,M,1987-04-30,105964,2002-07-09
16374,Holgard,Nergos,F,1987-05-21,105933,2002-05-17
11429,Nagui,Kaminger,M,1986-10-16,105927,2001-10-12
17170,Brewster,Birdsall,M,1987-06-05,105918,2001-11-30
12497,Stein,Penz,M,1985-04-05,105874,2001-09-22
11362,Tooru,Hockney,M,1985-02-10,105850,2001-10-25
10584,Mana,Papastamatiou,M,1986-02-17,105818,2002-02-13
15244,Gina,Bail,F,1985-08-22,105757,2001-08-18
16193,Basim,Ramsay,M,1986-09-05,105732,2002-02-12
13176,Pranas,Thiria,M,1990-09-07,105731,2001-09-04
15735,Shir,Ravishankar,M,1987-09-01,105721,2001-08-28
13259,Cheong,Dredge,F,1996-05-27,105719,2002-05-26
17671,Arunachalam,England,F,1992-04-03,105599,2002-04-01
17256,Shigeaki,Matteis,F,1990-11-10,105597,2002-06-09
10911,Shay,Casley,M,1988-06-25,105549,2002-06-22
10701,Hyuncheol,Zolotykh,M,1986-10-27,105545,2001-10-23
15938,Garnik,Covnot,F,1988-10-16,105534,2001-10-13
14007,Shiv,Jervis,M,1987-02-03,105453,2001-10-14
11081,Barry,Boyle,M,1985-06-17,105429,2002-06-13
11608,Jagoda,Jonsson,F,1987-04-19,105429,2002-04-15
13845,Alejandro,Ritcey,M,1993-11-18,105381,2002-01-11
17790,Youngkon,Merro,F,1985-04-01,105318,2002-03-28
12082,Xinan,Yamaashi,M,1986-01-29,105310,2002-01-25
10725,Garnet,Isard,M,1990-09-08,105260,2001-09-05
10513,Yuichiro,Schicker,F,1991-04-02,105199,2002-03-30
12102,Aron,Erde,M,1990-06-10,105090,2002-02-15
17027,Quingbo,Birge,M,1991-10-09,105090,2002-02-13
12873,Xiaoshan,Lorie,M,1992-03-13,105086,2002-03-11
11318,Gopalakrishnan,Unno,F,1986-01-25,105081,2002-01-21
16382,Chaoyi,Talmon,M,1987-05-05,105053,2002-05-01
14107,Xiahua,Rindone,M,1986-09-04,105037,2001-12-12
13774,Ramzi,Barbanera,M,1985-10-20,105012,2002-04-08
17026,Sham,Hockney,M,1986-05-29,105007,2002-05-25
11113,Shahab,Peng,F,1985-11-30,104979,2001-11-26
10380,Alejandro,Kamble,F,1985-03-19,104943,2002-03-15
14282,Claudi,Aumann,M,1985-07-06,104934,2002-07-02
12151,Takahiro,Sigstam,M,1990-04-16,104913,2002-04-13
11123,Herb,Cooley,F,1988-03-28,104886,2002-03-25
17131,Yunming,Gerlach,M,1985-02-12,104810,2002-01-19
10185,Duro,Sidhu,F,1986-03-01,104747,2002-02-25
12067,Doowon,Kalsbeek,M,1986-06-24,104740,2002-06-20
13789,Ramalingam,Ranst,M,1986-03-04,104703,2002-04-14
12066,Junichi,Deville,F,1985-09-20,104700,2001-09-16
10232,Marko,Auria,F,1992-06-04,104656,2002-06-02
16168,JoAnna,Ashish,M,1986-10-15,104605,2001-10-11
12097,Mostafa,Serdy,F,1985-11-12,104600,2001-09-05
10763,Giap,Bolsens,M,1987-02-23,104593,2002-02-19
17011,Nagui,Granlund,M,1996-08-15,104563,2001-08-14
15808,Amalendu,Terlouw,M,1988-06-04,104562,2002-06-01
13570,Kiyomitsu,Perez,M,1986-03-15,104550,2002-03-11
11447,Rasiah,Billawala,M,1985-09-18,104515,2001-09-14
16590,Woody,Brodal,F,1987-04-23,104452,2002-04-19
10795,Supot,Naudin,M,1985-05-21,104291,2002-05-01
12184,Chenxi,Zhang,M,1987-01-11,104290,2002-01-07
11841,Elvia,Bugrara,M,1992-09-07,104274,2002-04-01
16017,Theirry,Lichtman,F,1985-10-04,104271,2001-09-30
14575,Aluzio,Anick,F,1993-04-24,104260,2001-10-31
16848,Sajjan,Schahn,M,1997-06-25,104257,2002-06-24
11880,Akeel,Esposito,F,1993-01-31,104171,2002-01-29
18004,George,Miyakawa,M,1987-01-21,104135,2002-03-30
15701,Ult,Prenel,M,1986-12-28,104098,2001-12-24
11197,Tadahiro,Fordan,M,1986-04-13,104016,2001-09-09
14399,Gopalakrishnan,Dalphin,M,1991-06-15,103988,2002-06-12
11920,Kasturi,Chinal,F,1985-12-24,103974,2001-12-20
12941,Tommaso,Perelgut,F,1986-11-06,103942,2001-11-02
18163,Bowen,Rosis,M,1988-08-18,103888,2002-07-15
16671,Kish,Orlowska,M,1986-07-08,103877,2001-12-30
15105,Sudhanshu,Itzigehl,M,1986-06-09,103858,2001-11-19
13480,Patricio,Parascandalo,M,1992-11-27,103800,2002-06-16
16338,Mayuri,Chartres,F,1990-11-02,103781,2001-10-30
15469,Aksel,Sadowski,F,1986-11-12,103766,2002-06-26
13943,Maya,Plump,F,1993-02-05,103703,2002-02-03
12623,Raimond,Scharstein,F,1991-11-04,103693,2001-11-01
10066,Kwee,Schusler,M,1986-02-26,103672,2002-02-22
16921,Evgueni,Yeung,M,1988-01-21,103669,2002-01-17
15892,Lunjin,Pettis,F,1986-09-20,103599,2001-09-16
13601,Lillian,Feldhoffer,F,1986-07-15,103596,2002-07-11
15583,Kasidit,Denny,M,1991-09-22,103586,2002-05-02
16431,Jinxi,Valette,M,1985-06-19,103512,2002-06-15
11172,Kristian,Sudkamp,F,1989-06-06,103439,2002-06-03
16961,Sanjay,Figueira,M,1988-06-22,103423,2002-06-19
15565,True,Muchinsky,M,1986-12-16,103422,2001-12-12
12790,Gunilla,Perl,F,1986-04-22,103414,2001-08-06
12884,Paddy,Zyda,M,1988-11-09,103397,2001-11-06
10461,Gal,Karcich,M,1987-08-03,103382,2002-07-30
15474,Gilbert,Plumb,M,1985-06-30,103331,2001-12-02
15467,Tristan,Perng,M,1987-08-20,103330,2001-08-16
11083,Shimshon,Ducloy,M,1989-11-27,103320,2001-10-02
15499,Tetsushi,Simkin,F,1990-04-24,103319,2002-04-21
16534,Kwok,Prochazka,F,1985-10-07,103292,2001-10-03
18012,Reuven,Iacovou,M,1998-02-23,103291,2002-02-22
12783,Mahendra,Ginneken,F,1985-11-13,103274,2001-11-09
12159,Shem,Perly,M,1985-07-17,103268,2002-07-13
15186,Kenroku,Birdsall,M,1986-12-19,103239,2001-12-03
17336,Shigenori,Chaudhuri,M,1988-02-25,103218,2002-02-21
12501,Morrie,Matheson,F,1986-06-05,103165,2002-06-01
16044,Mang,Heinisuo,F,1985-07-11,103159,2002-07-07
15416,Toshiki,Savasere,M,1986-02-28,103156,2002-02-24
16890,Nathan,Terkki,F,1986-08-21,103149,2001-08-17
16239,Guangming,Kilgore,M,1991-10-06,103145,2002-07-26
11551,Subhrajyoti,Gonthier,M,1985-04-21,103142,2002-05-05
13489,Fumino,Itschner,M,1987-11-22,103089,2001-08-12
10444,Kazuhira,Rosis,M,1993-03-31,103063,2001-10-21
12349,Yannik,Denos,F,1989-04-14,103055,2002-04-11
13187,Maria,Pusterhofer,M,1987-09-26,103031,2002-07-24
12359,Tokuyasu,Yetto,M,1986-04-01,103027,2001-12-10
17573,Berthier,Deverell,M,1987-04-05,103008,2002-04-01
17610,Oscal,Hainaut,M,1986-02-10,102907,2002-02-06
13373,Juichirou,Naumovich,M,1987-06-13,102896,2001-08-21
16362,Niranjan,Felcyn,M,1985-04-26,102821,2002-04-02
17647,Vasilis,Swab,F,1988-08-25,102771,2002-08-01
16600,Vitali,Reinhard,M,1987-05-06,102750,2002-05-22
15791,Conal,Wendorf,M,1986-06-21,102694,2002-04-20
10768,Ishfaq,Candan,M,1985-07-04,102666,2002-06-30
15064,Wilmer,Comyn,F,1991-06-18,102616,2002-05-23
11022,Apostol,Pintelas,F,1988-08-01,102594,2002-01-31
15128,Kiyokazu,Hofstetter,F,1990-11-11,102525,2001-11-08
16226,Fay,Luan,M,1993-12-12,102505,2001-12-10
11443,Szabolcs,Nivat,M,1989-08-15,102480,2001-08-12
13621,Fei,Haddadi,M,1986-08-24,102458,2002-02-05
16734,Bedir,Birch,F,1992-03-26,102453,2002-03-24
13227,Goncalo,Pell,M,1996-03-04,102438,2002-02-02
15577,Matt,Menhardt,M,1985-10-26,102415,2001-11-14
15587,Chiranjit,Kavraki,M,1989-05-01,102374,2002-04-28
10968,Lakshmi,Kolinko,M,1985-08-11,102344,2001-08-07
13501,Caolyn,Peek,F,1986-07-26,102337,2002-07-22
13162,Shaw,Goodrum,M,1986-12-18,102335,2002-05-16
15418,Gianluca,Neimat,F,1985-10-25,102331,2001-10-21
12465,Gita,Ressouche,F,1985-11-22,102247,2001-11-18
16138,Leucio,Krzyzanowski,M,1986-04-29,102244,2002-05-02
16485,Baruch,Klassen,M,1986-03-17,102184,2002-03-13
10160,Debatosh,Khasidashvili,M,1989-01-30,102165,2001-12-04
15599,Filipe,Piancastelli,M,1987-02-16,102114,2002-02-12
16071,Bedir,Eiron,M,1989-09-17,102094,2001-09-14
15341,Shigehiro,Farrow,M,1990-03-04,102074,2002-03-01
15513,Hidekazu,Domenig,M,1989-05-20,102065,2002-05-17
13147,Shichao,Ginesta,M,1985-12-16,102056,2002-06-27
13604,Tzu,Stille,M,1986-03-03,102021,2002-02-27
16262,Tsuneo,Hatcliff,M,1997-03-18,102020,2002-03-17
17421,Adel,Birjandi,M,1985-02-12,102016,2002-02-08
11506,Rance,Picel,F,1986-07-01,101948,2002-04-06
16804,Alain,Wossner,M,1986-03-25,101940,2002-03-21
11900,Tse,Ermel,M,1990-05-26,101883,2002-05-23
10516,Xiadong,Luga,M,1985-10-19,101812,2001-10-15
10953,Jahangir,Laventhal,F,1987-02-12,101751,2002-02-08
13512,Rajmohan,Llado,F,1991-07-15,101746,2002-07-12
12612,Chandrasekaran,Thimonier,M,1992-10-13,101737,2002-05-28
