emp_no,first_name,last_name,gender,title,from_date,to_date,years_in_title,title_sequence
10055,Georgy,Dredge,M,Staff,1992-04-27,1995-07-22,3.23,1
10056,Brendon,Bernini,F,Engineer,1990-02-01,1999-02-01,9.0,1
10056,Brendon,Bernini,F,"Senior Engineer",1999-02-01,9999-01-01,3.5,2
10057,Ebbe,Callaway,F,Engineer,1992-01-15,2000-01-15,8.0,1
10057,Ebbe,Callaway,F,"Senior Engineer",2000-01-15,9999-01-01,2.54,2
10058,Berhard,McFarlin,M,"Senior Staff",1988-04-25,9999-01-01,14.27,1
10059,Alejandro,McAlpine,F,"Senior Staff",1991-06-26,9999-01-01,11.1,1
10060,Breannda,Billingsley,M,Staff,1989-05-28,1996-05-28,7.0,1
10060,Breannda,Billingsley,M,"Senior Staff",1996-05-28,9999-01-01,6.18,2
10061,Tse,Herber,M,"Senior Staff",1989-12-02,9999-01-01,12.66,1
10062,Anoosh,Peyn,M,Engineer,1991-08-30,1999-08-30,8.0,1
10062,Anoosh,Peyn,M,"Senior Engineer",1999-08-30,9999-01-01,2.92,2
10063,Gino,Leonhardt,F,"Senior Engineer",1989-04-08,9999-01-01,13.31,1
10064,Udi,Jansch,M,Staff,1985-11-20,1992-03-02,6.28,1
10065,Satosi,Awdeh,M,Engineer,1998-05-24,9999-01-01,4.19,1
10066,Kwee,Schusler,M,"Assistant Engineer",1986-02-26,1992-02-26,6.0,1
10066,Kwee,Schusler,M,Engineer,1992-02-26,1998-02-25,6.0,2
10066,Kwee,Schusler,M,"Senior Engineer",1998-02-25,9999-01-01,4.43,3
10067,Claudi,Stavenow,M,Engineer,1987-03-04,1996-03-03,9.0,1
10067,Claudi,Stavenow,M,"Senior Engineer",1996-03-03,9999-01-01,6.41,2
10068,Charlene,Brattka,M,Staff,1987-08-07,1996-08-06,9.0,1
10068,Charlene,Brattka,M,"Senior Staff",1996-08-06,9999-01-01,5.98,2
10069,Margareta,Bierman,F,"Technique Leader",1992-06-14,9999-01-01,10.13,1
10070,Reuven,Garigliano,M,"Technique Leader",1985-10-14,9999-01-01,16.8,1
10071,Hisao,Lipner,M,Staff,1995-08-05,9999-01-01,6.99,1
10072,Hironoby,Sidou,F,Engineer,1989-05-21,1995-05-21,6.0,1
10072,Hironoby,Sidou,F,"Senior Engineer",1995-05-21,9999-01-01,7.2,2
10073,Shir,McClurg,M,Engineer,1998-02-02,1998-02-22,0.05,1
10074,Mokhtar,Bernatsky,F,"Technique Leader",1990-08-13,9999-01-01,11.97,1
10075,Gao,Dolinsky,F,"Senior Engineer",1988-05-17,2001-01-15,12.67,1
10076,Erez,Ritzmann,F,"Senior Engineer",1996-07-15,9999-01-01,6.05,1
10077,Mona,Azuma,M,Staff,1994-12-23,9999-01-01,7.61,1
10078,Danel,Mondadori,F,Engineer,1994-09-29,9999-01-01,7.84,1
10079,Kshitij,Gils,F,"Technique Leader",1995-12-13,9999-01-01,6.63,1
10080,Premal,Baek,M,Staff,1994-09-28,2001-09-28,7.0,1
10080,Premal,Baek,M,"Senior Staff",2001-09-28,9999-01-01,0.84,2
10081,Zhongwei,Rosen,M,Engineer,1986-10-30,1991-10-30,5.0,1
10081,Zhongwei,Rosen,M,"Senior Engineer",1991-10-30,9999-01-01,10.75,2
10082,Parviz,Lortz,M,Staff,1990-01-03,1990-01-15,0.03,1
10083,Vishv,Zockler,M,Engineer,1987-03-31,1994-03-31,7.0,1
10083,Vishv,Zockler,M,"Senior Engineer",1994-03-31,9999-01-01,8.34,2
10084,Tuval,Kalloufi,M,Engineer,1995-12-15,2001-12-14,6.0,1
10084,Tuval,Kalloufi,M,"Senior Engineer",2001-12-14,9999-01-01,0.63,2
10085,Kenroku,Malabarba,M,"Senior Engineer",1994-04-09,9999-01-01,8.31,1
10086,Somnath,Foote,M,Staff,1992-02-19,1999-02-19,7.0,1
10086,Somnath,Foote,M,"Senior Staff",1999-02-19,9999-01-01,3.45,2
10087,Xinglin,Eugenio,F,Staff,1997-05-08,2001-01-09,3.67,1
10088,Jungsoon,Syrzycki,F,Staff,1988-09-02,1993-09-02,5.0,1
10088,Jungsoon,Syrzycki,F,"Senior Staff",1993-09-02,9999-01-01,8.91,2
10089,Sudharsan,Flasterstein,F,Staff,1989-01-10,1996-01-11,7.0,1
10089,Sudharsan,Flasterstein,F,"Senior Staff",1996-01-11,9999-01-01,6.55,2
10090,Kendra,Hofting,M,"Senior Engineer",1986-03-14,1999-05-07,13.15,1
10091,Amabile,Gomatam,M,Engineer,1992-11-18,2001-11-18,9.0,1
10091,Amabile,Gomatam,M,"Senior Engineer",2001-11-18,9999-01-01,0.7,2
10092,Valdiodio,Niizuma,F,Engineer,1996-04-22,9999-01-01,6.28,1
10093,Sailaja,Desikan,M,Staff,1997-06-08,9999-01-01,5.15,1
10094,Arumugam,Ossenbruggen,F,"Senior Staff",1987-04-18,1997-11-08,10.56,1
10095,Hilari,Morton,M,Staff,1994-03-10,2000-03-09,6.0,1
10095,Hilari,Morton,M,"Senior Staff",2000-03-09,9999-01-01,2.4,2
10096,Jayson,Mandell,M,Engineer,1999-01-23,9999-01-01,3.52,1
10097,Remzi,Waschkowski,M,Staff,1990-09-15,1996-09-14,6.0,1
10097,Remzi,Waschkowski,M,"Senior Staff",1996-09-14,9999-01-01,5.88,2
10098,Sreekrishna,Servieres,F,Engineer,1985-05-13,1992-05-13,7.0,1
10098,Sreekrishna,Servieres,F,"Senior Engineer",1992-05-13,1992-12-11,0.58,2
10099,Valter,Sullins,F,Staff,1988-10-18,1995-10-19,7.0,1
10099,Valter,Sullins,F,"Senior Staff",1995-10-19,9999-01-01,6.78,2
10100,Hironobu,Haraldson,F,Staff,1987-09-21,1994-09-21,7.0,1
10100,Hironobu,Haraldson,F,"Senior Staff",1994-09-21,9999-01-01,7.86,2
10101,Perla,Heyers,F,Staff,1998-10-14,2000-09-23,1.94,1
10102,Paraskevi,Luby,F,"Assistant Engineer",1995-01-02,2002-01-02,7.0,1
10102,Paraskevi,Luby,F,Engineer,2002-01-02,9999-01-01,0.58,2
10103,Akemi,Birch,M,Engineer,1998-01-12,9999-01-01,4.55,1
10104,Xinyu,Warwick,M,"Senior Staff",1987-04-16,9999-01-01,15.29,1
10105,Hironoby,Piveteau,M,Staff,1999-05-17,2001-06-11,2.07,1
10106,Eben,Aingworth,M,Engineer,1991-10-27,1997-10-26,6.0,1
10106,Eben,Aingworth,M,"Senior Engineer",1997-10-26,9999-01-01,4.76,2
10107,Dung,Baca,F,"Senior Staff",1999-03-30,9999-01-01,3.34,1
10108,Lunjin,Giveon,M,Staff,1999-03-20,2001-10-20,2.59,1
10109,Mariusz,Prampolini,F,Engineer,1993-06-16,2001-06-16,8.0,1
10109,Mariusz,Prampolini,F,"Senior Engineer",2001-06-16,9999-01-01,1.13,2
10110,Xuejia,Ullian,F,Staff,1986-08-22,1992-08-21,6.0,1
10110,Xuejia,Ullian,F,"Senior Staff",1992-08-21,9999-01-01,9.94,2
10111,Hugo,Rosis,F,Engineer,1988-12-19,1996-12-19,8.0,1
10111,Hugo,Rosis,F,"Senior Engineer",1996-12-19,9999-01-01,5.62,2
10112,Yuichiro,Swick,F,Staff,1998-05-01,9999-01-01,4.25,1
10113,Jaewon,Syrzycki,M,Engineer,1998-09-14,9999-01-01,3.88,1
10114,Munir,Demeyer,F,Staff,1992-07-17,1999-07-18,7.0,1
10114,Munir,Demeyer,F,"Senior Staff",1999-07-18,9999-01-01,3.04,2
10115,Chikara,Rissland,M,Staff,1988-03-03,1992-05-24,4.22,1
10116,Dayanand,Czap,F,"Senior Engineer",1994-02-27,1998-11-01,4.68,1
10117,Kiyotoshi,Blokdijk,F,"Senior Engineer",1992-03-19,9999-01-01,10.37,1
10118,Zhonghui,Zyda,F,"Senior Engineer",1992-02-02,9999-01-01,10.49,1
10119,Domenick,Peltason,M,Engineer,1993-12-09,1997-10-30,3.89,1
10120,Armond,Fairtlough,F,Engineer,1996-07-06,9999-01-01,6.07,1
10121,Guoxiang,Ramsay,M,Engineer,1989-05-03,1996-05-03,7.0,1
10121,Guoxiang,Ramsay,M,"Senior Engineer",1996-05-03,9999-01-01,6.25,2
10122,Ohad,Esposito,M,"Technique Leader",1998-08-06,9999-01-01,3.99,1
10123,Hinrich,Randi,M,"Assistant Engineer",1993-01-15,1999-01-15,6.0,1
10123,Hinrich,Randi,M,Engineer,1999-01-15,9999-01-01,3.54,2
10124,Geraldo,Marwedel,M,Engineer,1991-09-05,1998-09-05,7.0,1
10124,Geraldo,Marwedel,M,"Senior Engineer",1998-09-05,9999-01-01,3.9,2
10125,Syozo,Hiltgen,F,Staff,1990-10-26,1996-03-25,5.41,1
10126,Kayoko,Valtorta,M,Staff,1985-09-08,1991-09-08,6.0,1
10126,Kayoko,Valtorta,M,"Senior Staff",1991-09-08,9999-01-01,10.9,2
10127,Subir,Baja,F,"Senior Engineer",1991-05-17,9999-01-01,11.21,1
10128,Babette,Lamba,F,Staff,1988-06-06,1995-06-07,7.0,1
10128,Babette,Lamba,F,"Senior Staff",1995-06-07,9999-01-01,7.15,2
10129,Armond,Peir,M,"Technique Leader",1996-01-16,9999-01-01,6.54,1
10130,Nishit,Casperson,M,"Senior Engineer",1988-06-21,9999-01-01,14.11,1
10131,Magdalena,Eldridge,M,Engineer,1999-09-17,1999-12-06,0.22,1
10132,Ayakannu,Skrikant,M,Staff,1997-06-18,9999-01-01,5.12,1
10133,Giri,Isaak,M,Engineer,1985-12-15,1991-12-15,6.0,1
10133,Giri,Isaak,M,"Senior Engineer",1991-12-15,9999-01-01,10.63,2
10134,Diederik,Siprelle,M,Engineer,1987-12-12,1994-12-12,7.0,1
10134,Diederik,Siprelle,M,"Senior Engineer",1994-12-12,9999-01-01,7.64,2
10135,Nathan,Monkewich,M,"Assistant Engineer",1990-01-04,1999-01-04,9.0,1
10135,Nathan,Monkewich,M,Engineer,1999-01-04,9999-01-01,3.57,2
10136,Zissis,Pintelas,M,Staff,1988-06-13,1997-06-13,9.0,1
10136,Zissis,Pintelas,M,"Senior Staff",1997-06-13,1999-09-20,2.27,2
10137,Maren,Hutton,M,Staff,1985-02-18,1994-02-18,9.0,1
10137,Maren,Hutton,M,"Senior Staff",1994-02-18,9999-01-01,8.45,2
10138,Perry,Shimshoni,M,Engineer,1992-03-03,2001-03-03,9.0,1
10138,Perry,Shimshoni,M,"Senior Engineer",2001-03-03,9999-01-01,1.41,2
10139,Ewing,Foong,F,Engineer,1998-03-15,9999-01-01,4.38,1
10140,Yucel,Auria,F,Staff,1991-03-14,1998-03-14,7.0,1
10140,Yucel,Auria,F,"Senior Staff",1998-03-14,9999-01-01,4.38,2
10141,Shahaf,Ishibashi,F,"Senior Staff",1998-07-23,9999-01-01,4.02,1
10142,Tzvetan,Hettesheimer,M,Engineer,1993-10-28,2001-10-28,8.0,1
10142,Tzvetan,Hettesheimer,M,"Senior Engineer",2001-10-28,9999-01-01,0.76,2
10143,Sakthirel,Bakhtari,M,Engineer,1988-09-30,1993-09-30,5.0,1
10143,Sakthirel,Bakhtari,M,"Senior Engineer",1993-09-30,9999-01-01,8.84,2
10144,Marla,Brendel,M,Staff,1985-10-14,1992-10-14,7.0,1
10144,Marla,Brendel,M,"Senior Staff",1992-10-14,1993-08-10,0.82,2
10145,Akemi,Esposito,F,Engineer,1999-11-03,9999-01-01,2.74,1
10146,Chenyi,Syang,M,Staff,1988-06-28,1990-09-07,2.19,1
10147,Kazuhito,Encarnacion,M,Staff,1987-12-18,1995-12-18,8.0,1
10147,Kazuhito,Encarnacion,M,"Senior Staff",1995-12-18,9999-01-01,6.62,2
10148,Douadi,Azumi,M,Staff,1996-07-15,9999-01-01,6.05,1
10149,Xiadong,Perry,F,Staff,1994-01-28,1996-08-27,2.58,1
10150,Zhenbing,Perng,F,Engineer,1986-11-16,1995-11-16,9.0,1
10150,Zhenbing,Perng,F,"Senior Engineer",1995-11-16,9999-01-01,6.71,2
10151,Itzchak,Lichtner,M,Staff,1992-12-12,1997-12-12,5.0,1
10151,Itzchak,Lichtner,M,"Senior Staff",1997-12-12,9999-01-01,4.64,2
10152,Jaques,Munro,F,Engineer,1986-01-27,1987-08-03,1.51,1
10153,Heekeun,Majewski,M,"Assistant Engineer",2000-01-08,9999-01-01,2.56,1
10154,Abdulah,Thibadeau,F,Staff,1996-10-23,9999-01-01,5.77,1
10155,Adas,Nastansky,M,Staff,1990-01-05,1996-01-05,6.0,1
10155,Adas,Nastansky,M,"Senior Staff",1996-01-05,9999-01-01,6.57,2
10156,Sumali,Fargier,M,Engineer,1993-05-14,2001-05-14,8.0,1
10156,Sumali,Fargier,M,"Senior Engineer",2001-05-14,9999-01-01,1.22,2
10157,Nigel,Aloisi,M,"Senior Engineer",1997-12-10,9999-01-01,4.64,1
10158,Khedija,Mitsuhashi,M,Engineer,1987-06-04,1996-06-03,9.0,1
10158,Khedija,Mitsuhashi,M,"Senior Engineer",1996-06-03,9999-01-01,6.16,2
10159,Serif,Buescher,M,"Senior Engineer",1996-06-12,9999-01-01,6.14,1
10160,Debatosh,Khasidashvili,M,Staff,1993-12-06,2000-12-06,7.0,1
10160,Debatosh,Khasidashvili,M,"Senior Staff",2000-12-06,9999-01-01,1.65,2
10161,Hairong,Mellouli,F,Engineer,1991-06-09,1994-01-05,2.58,1
10162,Florina,Eugenio,M,Engineer,1998-05-27,9999-01-01,4.18,1
10163,Karsten,Szmurlo,M,"Senior Staff",1992-02-02,9999-01-01,10.49,1
10164,Jagoda,Braunmuhl,M,Engineer,1990-10-19,1999-10-19,9.0,1
10164,Jagoda,Braunmuhl,M,"Senior Engineer",1999-10-19,9999-01-01,2.78,2
10165,Miyeon,Macedo,M,"Senior Staff",1988-05-17,9999-01-01,14.21,1
10166,Samphel,Siegrist,F,Engineer,1996-09-02,9999-01-01,5.91,1
10167,Duangkaew,Rassart,M,Engineer,1992-04-04,2001-04-04,9.0,1
10167,Duangkaew,Rassart,M,"Senior Engineer",2001-04-04,9999-01-01,1.33,2
10168,Dharmaraja,Stassinopoulos,M,Staff,1986-12-06,1995-12-06,9.0,1
10168,Dharmaraja,Stassinopoulos,M,"Senior Staff",1995-12-06,9999-01-01,6.65,2
10169,Sampalli,Snedden,F,Engineer,1998-06-28,9999-01-01,4.09,1
10170,Kasturi,Jenevein,F,Engineer,1986-01-02,1989-02-06,3.1,1
10171,Herbert,Trachtenberg,M,"Technique Leader",1996-08-05,9999-01-01,5.99,1
10172,Shigeu,Matzen,F,Engineer,1998-02-04,9999-01-01,4.49,1
10173,Shrikanth,Mahmud,M,Staff,1992-03-21,1999-03-22,7.0,1
10173,Shrikanth,Mahmud,M,"Senior Staff",1999-03-22,9999-01-01,3.36,2
10174,Badri,Furudate,M,Engineer,1987-06-01,1995-06-01,8.0,1
10174,Badri,Furudate,M,"Senior Engineer",1995-06-01,9999-01-01,7.17,2
10175,Aleksandar,Ananiadou,F,Staff,1988-09-24,1995-05-24,6.66,1
10176,Brendon,Lenart,F,Staff,1994-12-22,1999-12-22,5.0,1
10176,Brendon,Lenart,F,"Senior Staff",1999-12-22,9999-01-01,2.61,2
10177,Pragnesh,Iisaka,M,Staff,1993-02-06,1994-03-17,1.11,1
10178,Valery,Litvinov,M,Staff,1994-03-21,9999-01-01,8.36,1
10179,Deniz,Duclos,F,Engineer,2000-01-25,9999-01-01,2.52,1
10180,Shaw,Wendorf,M,Staff,1994-07-01,2002-07-01,8.0,1
10180,Shaw,Wendorf,M,"Senior Staff",2002-07-01,9999-01-01,0.08,2
10181,Sibyl,Nooteboom,M,"Senior Engineer",1988-06-22,9999-01-01,14.11,1
10182,Moriyoshi,Merey,F,Engineer,1990-09-02,1995-09-02,5.0,1
10182,Moriyoshi,Merey,F,"Senior Engineer",1995-09-02,9999-01-01,6.91,2
10183,Mechthild,Bonifati,M,Staff,1996-08-11,9999-01-01,5.97,1
10184,Mihalis,Lowrie,M,Staff,1997-12-26,9999-01-01,4.6,1
10185,Duro,Sidhu,F,Staff,1986-03-01,1992-02-29,6.0,1
10185,Duro,Sidhu,F,"Senior Staff",1992-02-29,9999-01-01,10.42,2
10186,Shigehito,Kropatsch,M,Staff,1996-12-25,1997-08-16,0.64,1
10187,Tommaso,Narwekar,F,Staff,1991-06-01,2000-05-31,9.0,1
10187,Tommaso,Narwekar,F,"Senior Staff",2000-05-31,9999-01-01,2.17,2
10188,Christ,Muchinsky,F,"Senior Engineer",1987-08-27,9999-01-01,14.93,1
10189,Khalid,Erva,M,Engineer,1992-09-13,1993-06-29,0.79,1
10190,Arve,Fairtlough,F,Engineer,1986-06-23,1994-06-23,8.0,1
10190,Arve,Fairtlough,F,"Senior Engineer",1994-06-23,9999-01-01,8.11,2
10191,Zdislav,Nastansky,M,"Senior Engineer",1986-04-10,9999-01-01,16.31,1
10192,Mohua,Falck,M,Engineer,1988-06-13,1993-06-13,5.0,1
10192,Mohua,Falck,M,"Senior Engineer",1993-06-13,9999-01-01,9.13,2
10193,Masaru,Cheshire,M,Engineer,1996-09-21,9999-01-01,5.86,1
10194,Josyula,Hofmeyr,F,Staff,1997-02-14,2002-02-14,5.0,1
10194,Josyula,Hofmeyr,F,"Senior Staff",2002-02-14,9999-01-01,0.46,2
10195,Annemarie,Redmiles,M,Engineer,1985-02-15,1991-02-15,6.0,1
10195,Annemarie,Redmiles,M,"Senior Engineer",1991-02-15,2001-04-14,10.16,2
10196,Marc,Hellwagner,M,Staff,1999-01-31,9999-01-01,3.5,1
10197,Kasidit,Krzyzanowski,F,Engineer,1994-06-28,2001-06-28,7.0,1
10197,Kasidit,Krzyzanowski,F,"Senior Engineer",2001-06-28,9999-01-01,1.09,2
10198,Pranav,Furedi,M,Engineer,1985-08-31,1993-08-31,8.0,1
10198,Pranav,Furedi,M,"Senior Engineer",1993-08-31,9999-01-01,8.92,2
10199,Kazuhisa,Ranta,M,Staff,1998-02-07,9999-01-01,4.48,1
10200,Vidya,Awdeh,M,Engineer,1994-02-17,2000-02-17,6.0,1
10200,Vidya,Awdeh,M,"Senior Engineer",2000-02-17,9999-01-01,2.45,2
10201,Idoia,Kavraki,F,Engineer,1992-11-10,1998-11-10,6.0,1
10201,Idoia,Kavraki,F,"Senior Engineer",1998-11-10,9999-01-01,3.72,2
10202,Greger,Lichtner,M,Engineer,1991-10-06,2000-10-05,9.0,1
10202,Greger,Lichtner,M,"Senior Engineer",2000-10-05,9999-01-01,1.82,2
10203,Steen,Escriba,M,Staff,1989-04-06,1995-04-06,6.0,1
10203,Steen,Escriba,M,"Senior Staff",1995-04-06,9999-01-01,7.32,2
10204,Nevio,Ritcey,F,Engineer,1998-12-18,1999-03-08,0.22,1
10205,Mabhin,Leijenhorst,F,"Senior Engineer",1993-08-23,9999-01-01,8.94,1
10206,Alassane,Iwayama,F,"Technique Leader",1988-04-19,9999-01-01,14.28,1
10207,Girolamo,Anandan,F,Engineer,1992-10-11,1997-10-11,5.0,1
10207,Girolamo,Anandan,F,"Senior Engineer",1997-10-11,9999-01-01,4.8,2
10208,Xiping,Klerer,M,Staff,1995-02-05,1999-05-15,4.27,1
10209,Yolla,Ellozy,F,Staff,1991-11-23,1997-11-22,6.0,1
10209,Yolla,Ellozy,F,"Senior Staff",1997-11-22,9999-01-01,4.69,2
10210,Yuping,Alpin,M,Staff,1996-02-24,2002-02-23,6.0,1
10210,Yuping,Alpin,M,"Senior Staff",2002-02-23,9999-01-01,0.44,2
10211,Vishu,Strehl,F,Engineer,1991-11-22,1996-11-21,5.0,1
10211,Vishu,Strehl,F,"Senior Engineer",1996-11-21,9999-01-01,5.69,2
10212,Divier,Esteva,M,Engineer,1996-01-28,2001-01-27,5.0,1
10212,Divier,Esteva,M,"Senior Engineer",2001-01-27,9999-01-01,1.51,2
10213,Jackson,Kakkad,M,Staff,1994-10-06,9999-01-01,7.82,1
10214,Tadahiko,Ciolek,M,"Senior Staff",1988-02-29,9999-01-01,14.42,1
10215,Xiaobin,Duclos,M,"Senior Staff",1991-11-23,9999-01-01,10.69,1
10216,Amstein,Ghemri,M,Staff,1987-10-30,1993-10-29,6.0,1
10216,Amstein,Ghemri,M,"Senior Staff",1993-10-29,9999-01-01,8.76,2
10217,Yongmin,Roison,F,"Technique Leader",1986-05-12,1993-08-05,7.23,1
10218,Zhenhua,Magalhaes,M,"Senior Engineer",1997-01-31,9999-01-01,5.5,1
10219,Genta,Kolvik,M,"Senior Staff",1993-03-31,9999-01-01,9.34,1
10220,Kish,Fasbender,F,Staff,1997-09-16,9999-01-01,4.87,1
10221,Yucai,Granlund,M,Engineer,1988-06-08,1997-06-08,9.0,1
10221,Yucai,Granlund,M,"Senior Engineer",1997-06-08,2000-10-04,3.32,2
